"survey";200829;"Suzanne Vedel Bikeability"
"organiza";15155;"VIP/TAP"
"stat_1";0;"Ikke valgt"
"stat_1";1;"Valgt"
"stat_2";0;"Ikke valgt"
"stat_2";1;"Valgt"
"stat_3";0;"Ikke valgt"
"stat_3";1;"Valgt"
"stat_4";0;"Ikke valgt"
"stat_4";1;"Valgt"
"stat_5";0;"Ikke valgt"
"stat_5";1;"Valgt"
"stat_6";0;"Ikke valgt"
"stat_6";1;"Valgt"
"stat_7";0;"Ikke valgt"
"stat_7";1;"Valgt"
"stat_8";0;"Ikke valgt"
"stat_8";1;"Valgt"
"stat_9";0;"Ikke valgt"
"stat_9";1;"Valgt"
"stat_10";0;"Ikke valgt"
"stat_10";1;"Valgt"
"stat_11";0;"Ikke valgt"
"stat_11";1;"Valgt"
"stat_12";0;"Ikke valgt"
"stat_12";1;"Valgt"
"stat_13";0;"Ikke valgt"
"stat_13";1;"Valgt"
"stat_14";0;"Ikke valgt"
"stat_14";1;"Valgt"
"stat_15";0;"Ikke valgt"
"stat_15";1;"Valgt"
"stat_16";0;"Ikke valgt"
"stat_16";1;"Valgt"
"stat_17";0;"Ikke valgt"
"stat_17";1;"Valgt"
"stat_18";0;"Ikke valgt"
"stat_18";1;"Valgt"
"s_27";1;"Vestvolden, v. Albertslundruten"
"s_27";2;"Rolighedsvej, v. Bülowsvej"
"s_27";3;"Christianshavns Torv"
"s_27";4;"Hareskovvej, v. Bellahøj"
"s_27";5;"Fredensgade, v. Søerne"
"s_27";6;"Roskildevej, v. Damhussøen"
"s_27";7;"H. C. Andersens Boulevard, v. Rysensteensgade"
"s_27";8;"Den grønne rute, v. Thorvaldsensvej"
"s_27";9;"Gammel Køge Landevej, v. Vigerlev Allé"
"s_27";10;"Gothersgade, v. Kronprinsessegade"
"s_27";11;"Åboulevarden, v. Søerne"
"s_27";12;"Østerbrogade, v. Søerne"
"s_27";13;"Dybbøls Bro (Fisketorvet)"
"s_27";14;"Enghavevej, v. Enghave station"
"s_27";15;"Gammel Kongevej, v. Søerne"
"s_27";16;"Nørrebrogade, v. Søerne"
"s_27";17;"Den grønne rute, v. Jagtvej"
"s_28";1;"Kl. 7-8"
"s_28";2;"Kl. 8-9"
"s_28";3;"Kl. 9-10"
"s_28";4;"Kl. 10-11"
"s_28";5;"Kl. 11-12"
"s_28";6;"Kl. 12-13 "
"s_28";7;"Kl. 13-14"
"s_28";8;"Kl. 14-15"
"s_28";9;"Kl. 15-16"
"s_28";10;"Kl. 16-17"
"s_28";11;"Kl. 17-18"
"s_28";12;"Kl. 18-19"
"s_1_19";1;"0 dage/uge"
"s_1_19";2;"1 dag/uge"
"s_1_19";3;"2-3 dage/uge"
"s_1_19";4;"4-5 dage/uge"
"s_1_19";5;"6-7 dage/uge"
"s_1_20";1;"0 dage/uge"
"s_1_20";2;"1 dag/uge"
"s_1_20";3;"2-3 dage/uge"
"s_1_20";4;"4-5 dage/uge"
"s_1_20";5;"6-7 dage/uge"
"s_1_21";1;"0 dage/uge"
"s_1_21";2;"1 dag/uge"
"s_1_21";3;"2-3 dage/uge"
"s_1_21";4;"4-5 dage/uge"
"s_1_21";5;"6-7 dage/uge"
"s_1_22";1;"0 dage/uge"
"s_1_22";2;"1 dag/uge"
"s_1_22";3;"2-3 dage/uge"
"s_1_22";4;"4-5 dage/uge"
"s_1_22";5;"6-7 dage/uge"
"s_1_23";1;"0 dage/uge"
"s_1_23";2;"1 dag/uge"
"s_1_23";3;"2-3 dage/uge"
"s_1_23";4;"4-5 dage/uge"
"s_1_23";5;"6-7 dage/uge"
"s_1_24";1;"0 dage/uge"
"s_1_24";2;"1 dag/uge"
"s_1_24";3;"2-3 dage/uge"
"s_1_24";4;"4-5 dage/uge"
"s_1_24";5;"6-7 dage/uge"
"s_1_25";1;"0 dage/uge"
"s_1_25";2;"1 dag/uge"
"s_1_25";3;"2-3 dage/uge"
"s_1_25";4;"4-5 dage/uge"
"s_1_25";5;"6-7 dage/uge"
"s_1_26";1;"0 dage/uge"
"s_1_26";2;"1 dag/uge"
"s_1_26";3;"2-3 dage/uge"
"s_1_26";4;"4-5 dage/uge"
"s_1_26";5;"6-7 dage/uge"
"s_1_27";1;"0 dage/uge"
"s_1_27";2;"1 dag/uge"
"s_1_27";3;"2-3 dage/uge"
"s_1_27";4;"4-5 dage/uge"
"s_1_27";5;"6-7 dage/uge"
"s_1_28";1;"0 dage/uge"
"s_1_28";2;"1 dag/uge"
"s_1_28";3;"2-3 dage/uge"
"s_1_28";4;"4-5 dage/uge"
"s_1_28";5;"6-7 dage/uge"
"s_1_29";1;"0 dage/uge"
"s_1_29";2;"1 dag/uge"
"s_1_29";3;"2-3 dage/uge"
"s_1_29";4;"4-5 dage/uge"
"s_1_29";5;"6-7 dage/uge"
"s_1_11";1;"0 dage/uge"
"s_1_11";2;"1 dag/uge"
"s_1_11";3;"2-3 dage/uge"
"s_1_11";4;"4-5 dage/uge"
"s_1_11";5;"6-7 dage/uge"
"s_1_12";1;"0 dage/uge"
"s_1_12";2;"1 dag/uge"
"s_1_12";3;"2-3 dage/uge"
"s_1_12";4;"4-5 dage/uge"
"s_1_12";5;"6-7 dage/uge"
"s_1_13";1;"0 dage/uge"
"s_1_13";2;"1 dag/uge"
"s_1_13";3;"2-3 dage/uge"
"s_1_13";4;"4-5 dage/uge"
"s_1_13";5;"6-7 dage/uge"
"s_1_14";1;"0 dage/uge"
"s_1_14";2;"1 dag/uge"
"s_1_14";3;"2-3 dage/uge"
"s_1_14";4;"4-5 dage/uge"
"s_1_14";5;"6-7 dage/uge"
"s_1_15";1;"0 dage/uge"
"s_1_15";2;"1 dag/uge"
"s_1_15";3;"2-3 dage/uge"
"s_1_15";4;"4-5 dage/uge"
"s_1_15";5;"6-7 dage/uge"
"s_1_16";1;"0 dage/uge"
"s_1_16";2;"1 dag/uge"
"s_1_16";3;"2-3 dage/uge"
"s_1_16";4;"4-5 dage/uge"
"s_1_16";5;"6-7 dage/uge"
"s_1_17";1;"0 dage/uge"
"s_1_17";2;"1 dag/uge"
"s_1_17";3;"2-3 dage/uge"
"s_1_17";4;"4-5 dage/uge"
"s_1_17";5;"6-7 dage/uge"
"s_1_18";1;"0 dage/uge"
"s_1_18";2;"1 dag/uge"
"s_1_18";3;"2-3 dage/uge"
"s_1_18";4;"4-5 dage/uge"
"s_1_18";5;"6-7 dage/uge"
"s_1_1";5;"0 dage/uge"
"s_1_1";4;"1 dag/uge"
"s_1_1";3;"2-3 dage/uge"
"s_1_1";2;"4-5 dage/uge"
"s_1_1";1;"6-7 dage/uge"
"s_1_2";5;"0 dage/uge"
"s_1_2";4;"1 dag/uge"
"s_1_2";3;"2-3 dage/uge"
"s_1_2";2;"4-5 dage/uge"
"s_1_2";1;"6-7 dage/uge"
"s_1_3";5;"0 dage/uge"
"s_1_3";4;"1 dag/uge"
"s_1_3";3;"2-3 dage/uge"
"s_1_3";2;"4-5 dage/uge"
"s_1_3";1;"6-7 dage/uge"
"s_1_4";5;"0 dage/uge"
"s_1_4";4;"1 dag/uge"
"s_1_4";3;"2-3 dage/uge"
"s_1_4";2;"4-5 dage/uge"
"s_1_4";1;"6-7 dage/uge"
"s_1_5";5;"0 dage/uge"
"s_1_5";4;"1 dag/uge"
"s_1_5";3;"2-3 dage/uge"
"s_1_5";2;"4-5 dage/uge"
"s_1_5";1;"6-7 dage/uge"
"s_1_6";5;"0 dage/uge"
"s_1_6";4;"1 dag/uge"
"s_1_6";3;"2-3 dage/uge"
"s_1_6";2;"4-5 dage/uge"
"s_1_6";1;"6-7 dage/uge"
"s_1_7";5;"0 dage/uge"
"s_1_7";4;"1 dag/uge"
"s_1_7";3;"2-3 dage/uge"
"s_1_7";2;"4-5 dage/uge"
"s_1_7";1;"6-7 dage/uge"
"s_1_8";5;"0 dage/uge"
"s_1_8";4;"1 dag/uge"
"s_1_8";3;"2-3 dage/uge"
"s_1_8";2;"4-5 dage/uge"
"s_1_8";1;"6-7 dage/uge"
"s_1_9";5;"0 dage/uge"
"s_1_9";4;"1 dag/uge"
"s_1_9";3;"2-3 dage/uge"
"s_1_9";2;"4-5 dage/uge"
"s_1_9";1;"6-7 dage/uge"
"s_1_10";5;"0 dage/uge"
"s_1_10";4;"1 dag/uge"
"s_1_10";3;"2-3 dage/uge"
"s_1_10";2;"4-5 dage/uge"
"s_1_10";1;"6-7 dage/uge"
"s_19";1;"Ja"
"s_19";2;"Nej"
"s_19";3;"Ved ikke"
"s_21_1";1;"Jeg overhaler mange andre cyklister"
"s_21_1";2;"Jeg overhaler nogle andre cyklister"
"s_21_1";3;"Jeg følger med gennemsnittet"
"s_21_1";4;"Jeg bliver overhalet af nogle andre cyklister"
"s_21_1";5;"Jeg bliver overhalet af mange andre cyklister"
"s_21_1";6;"Ved ikke"
"s_18_1";1;"Meget tryg"
"s_18_1";2;"Lidt tryg"
"s_18_1";3;"Uden betydning"
"s_18_1";4;"Ved ikke"
"s_18_2";1;"Meget tryg"
"s_18_2";2;"Lidt tryg"
"s_18_2";3;"Uden betydning"
"s_18_2";4;"Ved ikke"
"s_18_3";1;"Meget tryg"
"s_18_3";2;"Lidt tryg"
"s_18_3";3;"Uden betydning"
"s_18_3";4;"Ved ikke"
"s_18_4";1;"Meget tryg"
"s_18_4";2;"Lidt tryg"
"s_18_4";3;"Uden betydning"
"s_18_4";4;"Ved ikke"
"s_18_5";1;"Meget tryg"
"s_18_5";2;"Lidt tryg"
"s_18_5";3;"Uden betydning"
"s_18_5";4;"Ved ikke"
"s_18_6";1;"Meget tryg"
"s_18_6";2;"Lidt tryg"
"s_18_6";3;"Uden betydning"
"s_18_6";4;"Ved ikke"
"s_18_7";1;"Meget tryg"
"s_18_7";2;"Lidt tryg"
"s_18_7";3;"Uden betydning"
"s_18_7";4;"Ved ikke"
"s_18_8";1;"Meget tryg"
"s_18_8";2;"Lidt tryg"
"s_18_8";3;"Uden betydning"
"s_18_8";4;"Ved ikke"
"s_10_1";1;"Meget utryg"
"s_10_1";2;"Lidt utryg"
"s_10_1";3;"Uden betydning"
"s_10_1";4;"Ved ikke"
"s_10_2";1;"Meget utryg"
"s_10_2";2;"Lidt utryg"
"s_10_2";3;"Uden betydning"
"s_10_2";4;"Ved ikke"
"s_10_3";1;"Meget utryg"
"s_10_3";2;"Lidt utryg"
"s_10_3";3;"Uden betydning"
"s_10_3";4;"Ved ikke"
"s_10_4";1;"Meget utryg"
"s_10_4";2;"Lidt utryg"
"s_10_4";3;"Uden betydning"
"s_10_4";4;"Ved ikke"
"s_10_5";1;"Meget utryg"
"s_10_5";2;"Lidt utryg"
"s_10_5";3;"Uden betydning"
"s_10_5";4;"Ved ikke"
"s_10_6";1;"Meget utryg"
"s_10_6";2;"Lidt utryg"
"s_10_6";3;"Uden betydning"
"s_10_6";4;"Ved ikke"
"s_10_7";1;"Meget utryg"
"s_10_7";2;"Lidt utryg"
"s_10_7";3;"Uden betydning"
"s_10_7";4;"Ved ikke"
"s_10_8";1;"Meget utryg"
"s_10_8";2;"Lidt utryg"
"s_10_8";3;"Uden betydning"
"s_10_8";4;"Ved ikke"
"s_10_9";1;"Meget utryg"
"s_10_9";2;"Lidt utryg"
"s_10_9";3;"Uden betydning"
"s_10_9";4;"Ved ikke"
"s_10_10";1;"Meget utryg"
"s_10_10";2;"Lidt utryg"
"s_10_10";3;"Uden betydning"
"s_10_10";4;"Ved ikke"
"s_10_11";1;"Meget utryg"
"s_10_11";2;"Lidt utryg"
"s_10_11";3;"Uden betydning"
"s_10_11";4;"Ved ikke"
"s_17__1";0;"Ikke valgt"
"s_17__1";1;"Valgt"
"s_17__2";0;"Ikke valgt"
"s_17__2";1;"Valgt"
"s_17__3";0;"Ikke valgt"
"s_17__3";1;"Valgt"
"s_17__4";0;"Ikke valgt"
"s_17__4";1;"Valgt"
"s_17__5";0;"Ikke valgt"
"s_17__5";1;"Valgt"
"s_17__6";0;"Ikke valgt"
"s_17__6";1;"Valgt"
"s_17__7";0;"Ikke valgt"
"s_17__7";1;"Valgt"
"s_17__8";0;"Ikke valgt"
"s_17__8";1;"Valgt"
"s_17__9";0;"Ikke valgt"
"s_17__9";1;"Valgt"
"s_22__1";0;"Ikke valgt"
"s_22__1";1;"Valgt"
"s_22__2";0;"Ikke valgt"
"s_22__2";1;"Valgt"
"s_22__3";0;"Ikke valgt"
"s_22__3";1;"Valgt"
"s_22__4";0;"Ikke valgt"
"s_22__4";1;"Valgt"
"s_22__5";0;"Ikke valgt"
"s_22__5";1;"Valgt"
"s_22_1";1;"Almindelig cykel/bycykel osv."
"s_22_1";2;"Racercykel"
"s_22_1";3;"Mountainbike"
"s_22_1";4;"Lad- eller kassecykel"
"s_22_1";5;"Andet:"
"s_25_3";1;"Stor betydning"
"s_25_3";2;"Nogen betydning"
"s_25_3";3;"Ingen betydning"
"s_25_3";6;"Ved ikke"
"s_25_1";1;"Stor betydning"
"s_25_1";2;"Nogen betydning"
"s_25_1";3;"Ingen betydning"
"s_25_1";6;"Ved ikke"
"s_25_5";1;"Stor betydning"
"s_25_5";2;"Nogen betydning"
"s_25_5";3;"Ingen betydning"
"s_25_5";6;"Ved ikke"
"s_25_4";1;"Stor betydning"
"s_25_4";2;"Nogen betydning"
"s_25_4";3;"Ingen betydning"
"s_25_4";6;"Ved ikke"
"s_25_6";1;"Stor betydning"
"s_25_6";2;"Nogen betydning"
"s_25_6";3;"Ingen betydning"
"s_25_6";6;"Ved ikke"
"s_25_7";1;"Stor betydning"
"s_25_7";2;"Nogen betydning"
"s_25_7";3;"Ingen betydning"
"s_25_7";6;"Ved ikke"
"s_25_8";1;"Stor betydning"
"s_25_8";2;"Nogen betydning"
"s_25_8";3;"Ingen betydning"
"s_25_8";6;"Ved ikke"
"s_25_15";1;"Meget ubehageligt/ irriterende"
"s_25_15";2;"Lidt ubehageligt/ irriterende"
"s_25_15";3;"Ikke ubehageligt/ irriterende"
"s_25_15";6;"Ved ikke"
"s_25_16";1;"Meget ubehageligt/ irriterende"
"s_25_16";2;"Lidt ubehageligt/ irriterende"
"s_25_16";3;"Ikke ubehageligt/ irriterende"
"s_25_16";6;"Ved ikke"
"s_25_9";1;"Meget ubehageligt/ irriterende"
"s_25_9";2;"Lidt ubehageligt/ irriterende"
"s_25_9";3;"Ikke ubehageligt/ irriterende"
"s_25_9";6;"Ved ikke"
"s_25_10";1;"Meget ubehageligt/ irriterende"
"s_25_10";2;"Lidt ubehageligt/ irriterende"
"s_25_10";3;"Ikke ubehageligt/ irriterende"
"s_25_10";6;"Ved ikke"
"s_25_11";1;"Meget ubehageligt/ irriterende"
"s_25_11";2;"Lidt ubehageligt/ irriterende"
"s_25_11";3;"Ikke ubehageligt/ irriterende"
"s_25_11";6;"Ved ikke"
"s_25_19";1;"Meget ubehageligt/ irriterende"
"s_25_19";2;"Lidt ubehageligt/ irriterende"
"s_25_19";3;"Ikke ubehageligt/ irriterende"
"s_25_19";6;"Ved ikke"
"s_25_31";1;"Meget tilfreds"
"s_25_31";2;"Tilfreds"
"s_25_31";3;"Hverken eller"
"s_25_31";4;"Utilfreds"
"s_25_31";5;"Meget utilfreds"
"s_25_31";6;"Ved ikke"
"s_25_34";1;"Meget tilfreds"
"s_25_34";2;"Tilfreds"
"s_25_34";3;"Hverken eller"
"s_25_34";4;"Utilfreds"
"s_25_34";5;"Meget utilfreds"
"s_25_34";6;"Ved ikke"
"s_25_35";1;"Meget tilfreds"
"s_25_35";2;"Tilfreds"
"s_25_35";3;"Hverken eller"
"s_25_35";4;"Utilfreds"
"s_25_35";5;"Meget utilfreds"
"s_25_35";6;"Ved ikke"
"s_25_12";1;"Meget tilfreds"
"s_25_12";2;"Tilfreds"
"s_25_12";3;"Hverken eller"
"s_25_12";4;"Utilfreds"
"s_25_12";5;"Meget utilfreds"
"s_25_12";6;"Ved ikke"
"s_25_13";1;"Meget tilfreds"
"s_25_13";2;"Tilfreds"
"s_25_13";3;"Hverken eller"
"s_25_13";4;"Utilfreds"
"s_25_13";5;"Meget utilfreds"
"s_25_13";6;"Ved ikke"
"s_25_37";1;"Meget tilfreds"
"s_25_37";2;"Tilfreds"
"s_25_37";3;"Hverken eller"
"s_25_37";4;"Utilfreds"
"s_25_37";5;"Meget utilfreds"
"s_25_37";6;"Ved ikke"
"s_25_14";1;"Meget tilfreds"
"s_25_14";2;"Tilfreds"
"s_25_14";3;"Hverken eller"
"s_25_14";4;"Utilfreds"
"s_25_14";5;"Meget utilfreds"
"s_25_14";6;"Ved ikke"
"s_25_17";1;"Meget tilfreds"
"s_25_17";2;"Tilfreds"
"s_25_17";3;"Hverken eller"
"s_25_17";4;"Utilfreds"
"s_25_17";5;"Meget utilfreds"
"s_25_17";6;"Ved ikke"
"s_25_18";1;"Meget tilfreds"
"s_25_18";2;"Tilfreds"
"s_25_18";3;"Hverken eller"
"s_25_18";4;"Utilfreds"
"s_25_18";5;"Meget utilfreds"
"s_25_18";6;"Ved ikke"
"s_26";1;"Ja"
"s_26";2;"Nej"
"s_26";3;"Ved ikke"
"s_33_5";2;"Rute A"
"s_33_5";3;"Rute B"
"s_33_5";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_13";2;"Rute A"
"s_33_13";3;"Rute B"
"s_33_13";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_15";2;"Rute A"
"s_33_15";3;"Rute B"
"s_33_15";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_17";2;"Rute A"
"s_33_17";3;"Rute B"
"s_33_17";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_19";2;"Rute A"
"s_33_19";3;"Rute B"
"s_33_19";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_21";2;"Rute A"
"s_33_21";3;"Rute B"
"s_33_21";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_7";2;"Rute A"
"s_33_7";3;"Rute B"
"s_33_7";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_23";2;"Rute A"
"s_33_23";3;"Rute B"
"s_33_23";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_25";2;"Rute A"
"s_33_25";3;"Rute B"
"s_33_25";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_27";2;"Rute A"
"s_33_27";3;"Rute B"
"s_33_27";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_29";2;"Rute A"
"s_33_29";3;"Rute B"
"s_33_29";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_31";2;"Rute A"
"s_33_31";3;"Rute B"
"s_33_31";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_1";2;"Rute A"
"s_33_1";3;"Rute B"
"s_33_1";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_33";2;"Rute A"
"s_33_33";3;"Rute B"
"s_33_33";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_35";2;"Rute A"
"s_33_35";3;"Rute B"
"s_33_35";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_37";2;"Rute A"
"s_33_37";3;"Rute B"
"s_33_37";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_39";2;"Rute A"
"s_33_39";3;"Rute B"
"s_33_39";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_41";2;"Rute A"
"s_33_41";3;"Rute B"
"s_33_41";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_3";2;"Rute A"
"s_33_3";3;"Rute B"
"s_33_3";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_43";2;"Rute A"
"s_33_43";3;"Rute B"
"s_33_43";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_45";2;"Rute A"
"s_33_45";3;"Rute B"
